id,constant,position,translate,
35,indexStepsText.step2.text|dot,Описание Шага №2,"Второй этап подразумевает выбор типа счета, на платформе их представлено несколько.",
36,indexStepsText.step3.title,Шаг №3,Пополнить счет,
37,indexStepsText.step3.text|dot,Описание Шага №3,На третьем этапе от вас требуется только пополнить депозит на торговом терминале и начать торговать.,подразумевает уже использвуется во втором шаге. не нравится повтор
1.5. Информация об аккаунтах.,,,,
38,indexAccountsText.h2,Главный заголовок раздела,Информация об аккаунтах,
39,indexAccountsText.account1.title,Аккаунт №1,Beginner,
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,"Данный тип счета позволяет использовать самые популярные инструменты, а также дает доступ к обучающим материалам.",
41,indexAccountsText.account2.title,Аккаунт №2,Middle ,
42,indexAccountsText.account2.text|dot,Подзаголовок для аккаунта №2,Еще больше торговых инструментов и более выгодные условия для трейдера.,
43,indexAccountsText.account3.title,Аккаунт №3,Specialist,
44,indexAccountsText.account3.text|dot,Подзаголовок для аккаунта №3,"Выбрав этот тариф, помимо полного доступа к торговому терминалу, вы также получаете возможность застраховать свой депозит.","лучше здесь указать про защиту и страхование депозитов, нежели про расширенный список инструментов"
45,indexAccountsText.account_condition_1,Минимальный депозит:,Минимальный депозит,
46,indexAccountsText.account_condition_2,Кредитное плечо:,Кредитное плечо,
47,indexAccountsText.account_condition_3,Моментальное исполнение,Моментальное исполнение,
48,indexAccountsText.account_condition_4,Торговля криптовалютами и металлами,Торговля криптовалютами и металлами,
49,indexAccountsText.account_condition_5,Возможность инвестиций в ПАММ-счета,Возможность инвестиций в ПАММ-счета,
50,indexAccountsText.account_condition_6,Отсутствие свопа,Отсутствие свопа,
51,indexAccountsText.account_condition_7,Торговля ETF и индексами,Торговля ETF и индексами,
52,indexAccountsText.account_condition_8,Страхование депозитов,Страхование депозитов,
53,indexAccountsText.account_condition_9,Персональный менеджер,Персональный менеджер,
54,indexAccountsText.account_condition_10,Открытие личного ПАММ-счета,Открытие личного ПАММ-счета,
53,indexAccountsText.account_condition_11,Защита депозитов,Защита депозитов,
54,indexAccountsText.account_condition_12,Круглосуточная поддержка,Круглосуточная поддержка,
1.6. Новости,,,,
55,indexNewsText.h2,Главный заголовок раздела,Последние экономические новости,
1.7. Футер,,,,
56,footerContent,Футер текст,"Компания Company Name зарегистрирована по адресу: France, Ile-de-France, Line A, Marne-la-Vallee Chessie station. Деятельность компании осуществляется в соответствии с требованиями Европейского управления по надзору за рынком ценных бумаг (номер лицензии: 096/08), Австралийской комиссией по ценным бумагам и инвестициям (ASIC) (19-365MR) и Управлением по финансовому регулированию и надзору Великобритании (FCA) FRN: 584283.",
2. Рынки и инструменты,,,,
2.2. Обзор рынков,,,,
2.2.1. Посадочный экран,,,,
57,marketsHeaderText.title,Заголовок,Огромные возможности для торговли,
58,marketsHeaderText.text|dot,Подзаголовок,Компания Company Name предоставляет возможность трейдерам из любой точки мира использовать свыше 200 самых популярных финансовых инструментов.,"больше 200 инструментов, пожалуйста, везде укажите"
59,commonMarketsText.title_graph,Заголовок торгового графика,График торгового инструмента,
60,commonMarketsText.title_table,Заголовок таблицы инструментов,Таблица инструментов,
61,commonMarketsText.footnote,Часы работы рынков,* часы открытия и закрытия торгов указаны по UTC+0,
2.2.2. Валюты,,,,
62,marketsListText.market1.title,Заголовок,Валютные пары,
63,marketsListText.market1.text|dot,Подзаголовок,Приобретение валюты — один из самых популярных инструментов для инвестирования на финансовых рынках. Ежесекундно осуществляется огромное количество операций по продаже и покупке валюты во все мире.,
2.2.3. Металлы,,,,
64,marketsListText.market2.title,Заголовок,Металлы,
65,marketsListText.market2.text|dot,Подзаголовок,"С компанией Company Name вы получите возможность приобрести ценные металлы, такие как: золото, серебро, медь, платина и другие. ",
2.2.4. Акции,,,,
66,marketsListText.market3.title,Заголовок,Акции,
67,marketsListText.market3.text|dot,Подзаголовок,"Акции различных компаний - второй по популярности, после торговли валютой, инструмент для осуществления операций на торговой бирже.",
2.2.5. Товары,,,,
68,marketsListText.market4.title,Заголовок,Сырьевые товары,
69,marketsListText.market4.text|dot,Подзаголовок,"На платформе Company Name у вас будет возможность торговать сельскохозяйственной продукцией, энергетическими продуктами и другими.",
2.2.6. Индексы,,,,
70,marketsListText.market5.title,Заголовок,Индексы,
71,marketsListText.market5.text|dot,Подзаголовок,"Фондовые индексы являются альтернативой других финансовых рынков и имеют свои преимущества, а именно: инвестирование в долгосрочной перспективе и мгновенная диверсификация, так как торгуются акции сразу нескольких крупных компаний.",
2.2.7. Криптовалюты,,,,
72,marketsListText.market6.title,Заголовок,Криптовалюта,
73,marketsListText.market6.text|dot,Подзаголовок,"Относительно новый финансовый инструмент, обладает высокими рисками, но из-за сильной динамики цен дает возможность приумножить вложенные средства за счет разницы между ценой покупки и ценой продажи. ",
2.3. Валюты,,,,
2.3.1. Посадочный экран,,,,
74,forexHeaderText.title,Заголовок,Forex,
75,forexHeaderText.text|dot,Подзаголовок,Станьте частью финансового рынка по торговле валютными парами. В торговом терминале Company Name есть множество прикладных инструментов для анализа и прогнозирования будущей цены на ту или иную валюту. Это поможет вам всегда оставаться в плюсе.,
76,forexProfitsText.profit1.title,Преимущество №1. Заголовок.,Торговля из любой точки мира,
77,forexProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Неважно, где вы находитесь в данный момент, если у вас есть доступ к интернету - вы сможете совершать операции на бирже.",
78,forexProfitsText.profit2.title,Преимущество №2. Заголовок.,Высокая доходность,
79,forexProfitsText.profit2.text|dot,Преимущество №2. Описание.,В сравнении с фондовым рынком валютный трейдинг имеет более высокую доходность. Средний показатель доходности валютной торговли 20-30%.,
80,forexProfitsText.profit3.title,Преимущество №3. Заголовок.,Низкий порог для входа,
81,forexProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Для торговли на валютном рынке необязательно обладать фундаментальными знаниями, можно обучаться прямо в процессе торговли.",
82,forexProfitsText.profit4.title,Преимущество №4. Заголовок.,Круглосуточная торговля,
83,forexProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Валютный рынок работает круглосуточно пять дней в неделю, это дает возможность выстроить свой рабочий график так, как вам удобно.",по будням
2.3.2. Описание рынка,,,,
84,forexAssetsText.title,Заголовок,Узнайте больше о валютном рынке,
85,forexAssetsText.text|dot,Подзаголовок,"Рынок Forex - это международный рынок валюты, считается одним из самых крупных и активных финансовых рынкох в мире. Торговля на данном рынке ведется на основе валютных пар, как популярных (EUR/USD), так и более экзотических, например USD/HKD. ",
2.4. Металлы,,,,
2.4.1. Посадочный экран,,,,
86,metalsHeaderText.title,Заголовок,Металлы,
87,metalsHeaderText.text|dot,Подзаголовок,"Самыми популярными финансовыми инструментами в данной области являются CFD на различные виды металлов. Company Name предоставит в пользование множество инструментов для риск-менеджмента и прогнозирования, которые помогут грамотно выстроить стратегию торговли. ",
88,metalsProfitsText.profit1.title,Преимущество №1. Заголовок.,Однозначность котировок,
89,metalsProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Котировки для данного финансового инструмента едины для всех брокеров, это минимизирует возникновение спорных ситуаций, связанных с расхождением цен.",
90,metalsProfitsText.profit2.title,Преимущество №2. Заголовок.,Информация об объемах фьючерса,
91,metalsProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Информация об объемах рынка фьючерсов является довольно прозрачной, это, в свою очередь, способствует улучшению показателей торговли.",
92,metalsProfitsText.profit3.title,Преимущество №3. Заголовок.,Использование кредитного плеча,
93,metalsProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Торговля с кредитным плечом позволяет торговать, имея только часть стоимости актива, что в конечном итоге позволяет работать с небольшим капиталом.",
94,metalsProfitsText.profit4.title,Преимущество №4. Заголовок.,Низкая величина спреда,
95,metalsProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Ликвидность контракта на товар значительно выше, нежели ликвидность самого товара. ",
2.4.2. Описание рынка,,,,
96,metalsAssetsText.title,Заголовок,Узнайте больше о рынке металлов,
97,metalsAssetsText.text|dot,Подзаголовок,"Рынок драгоценных металлов — область экономических отношений, которая регулирует проведение торговых операций с различными драгоценными металлами, например золотом. Это вспомогательный инструмент, который можно использовать для диверсификации своего инвестиционного портфеля. ",
2.5. Акции,,,,
2.5.1. Посадочный экран,,,,
98,stocksHeaderText.title,Заголовок,Акции,
99,stocksHeaderText.text|dot,Подзаголовок,Пройдите простую процедуру регистрации аккаунта и начинайте покупать и продавать акции компаний уже сейчас.,
100,stocksProfitsText.profit1.title,Преимущество №1. Заголовок.,Низкие комиссии на проведение операций,
101,stocksProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Company Name имеет лояльную систему комиссий на операции, при которой трейдер и брокер остаются в плюсе.",
102,stocksProfitsText.profit2.title,Преимущество №2. Заголовок.,Короткосрочное и долгосрочные инвестиции,
103,stocksProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Торговый терминал позволяет вам совершать как долгосрочные инвестиции, с заделом на будущее, так и краткосрочные, с расчетом заработать на разнице цен.",
104,stocksProfitsText.profit3.title,Преимущество №3. Заголовок.,Разнообразие акций различных компаний,
105,stocksProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Company Name даст вам возможно приобрести акции самых различных компаний: крупных и устоявшихся или же перспективных, но более рисковых стартапов.",
106,stocksProfitsText.profit4.title,Преимущество №4. Заголовок.,Минимальный порог вхождения на рынок,
107,stocksProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Нет необходимости иметь большой стартовый капитал для торговли акциями, можно начать с небольших вложений.",
2.5.2. Описание рынка,,,,
108,stocksAssetsText.title,Заголовок,Узнайте больше о рынке акций,лучше узнайте как и валютах и везде дальше
109,stocksAssetsText.text|dot,Подзаголовок,"Акции – это один из видов ценных бумаг на фондовом рынке. Покупая акцию, владелец получает долю в капитале компании. Акции являются самым популярным инструментом для инвестирования на фондовом рынке. ",
2.6. Товары,,,,
2.6.1. Посадочный экран,,,,
110,commoditiesHeaderText.title,Заголовок,Товары,
111,commoditiesHeaderText.text|dot,Подзаголовок,Company Name позволит всем пользователям осуществлять операции по торговле сырьевыми товарами. Рынок сырья включает в себя сельсхохозяйственную продукцию и энергетические продукты.,
112,commoditiesProfitsText.profit1.title,Преимущество №1. Заголовок.,Диверсификация,
113,commoditiesProfitsText.profit1.text|dot,Преимущество №1. Описание.,Корреляция между стоимостью сырья и различными биржевыми курсами довольно низкая. ,
114,commoditiesProfitsText.profit2.title,Преимущество №2. Заголовок.,Кредитное плечо,
115,commoditiesProfitsText.profit2.text|dot,Преимущество №2. Описание.,"На платформе есть возможность использования кредитного плеча, что позволит вам значительно увеличить прибыль от торговли.",
116,commoditiesProfitsText.profit3.title,Преимущество №3. Заголовок.,Минимальные вложения,
117,commoditiesProfitsText.profit3.text|dot,Преимущество №3. Описание.,CFD-торговля сырьем позволяет начать трейдинг без большого капитала. Даже с минимальными инвестициями вы сможете получить прибыль на падении или повышении цены.,Каким образом? Лучше поменять и не лезть в эти дебри
118,commoditiesProfitsText.profit4.title,Преимущество №4. Заголовок.,Разнообразие сырьевых товаров,
119,commoditiesProfitsText.profit4.text|dot,Преимущество №4. Описание.,Company Name делает возможным проведение операций по торговле любыми сырьевыми товарами.,
2.6.2. Описание рынка,,,,
120,commoditiesAssetsText.title,Заголовок,Узнайте больше о рынке товаров,
121,commoditiesAssetsText.text|dot,Подзаголовок,"Сырьевые товары - это различные материалы, которые имеются в природной среде или извлекаются из нее. Нефть, газ, руда, древесина и многое другое - это все сырьевые товары. Для торговли данными видами товаров чаще всего используется фьючесная торговля, которая позволяет зарабатывать на разнице цен.",
2.7. Индексы,,,,
2.7.1. Посадочный экран,,,,
122,indicesHeaderText.title,Заголовок,Фондовые индексы,
123,indicesHeaderText.text|dot,Подзаголовок,"Индексы дают возможность торговать в формате контакта на разницу цен. У этого финансового инструмента низкая волатильность, что, в свою очередь, делает его отличным инструментом для диферсификации инвестиционного портфеля, а также позволяет осуществлять долгосрочные инвестиции. ",
124,indicesProfitsText.profit1.title,Преимущество №1. Заголовок.,Низкие сборы и комиссии,
125,indicesProfitsText.profit1.text|dot,Преимущество №1. Описание.,Приказы на осуществление операций производятся без дополнительных комиссий и сборов.,
126,indicesProfitsText.profit2.title,Преимущество №2. Заголовок.,Анализ и прогнозирование,
127,indicesProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Company Name предоставлет трейдерам множество финансовых аналитических инструментов, которые, при должном и грамотном анализе, позволяют увеличить показатели торговли.",
128,indicesProfitsText.profit3.title,Преимущество №3. Заголовок.,Низкий порог вхождения,
129,indicesProfitsText.profit3.text|dot,Преимущество №3. Описание.,Инвестиции в фондовые индексы не требует фундаментальной подготовки в области торговли. ,
130,indicesProfitsText.profit4.title,Преимущество №4. Заголовок.,Низкие издержки,
131,indicesProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Вложение капитала в индексы несет гораздо меньше издержек, что положительно влияет на итоговый показатель прибыли трейдера.",
2.7.2. Описание рынка,,,,
132,indicesAssetsText.title,Заголовок,Узнайте больше о рынке индексов,
133,indicesAssetsText.text|dot,Подзаголовок,"Фондовые индексы - это относительные показатели, которые отражают общее состояние страны, отрасли в целом или частных конкретных инвестиционных портфелей. Фондовые индексы характеризуют усредненную стоимость различных ценных бумаг и выявляют общую динамику.",
2.8. Криптовалюты,,,,
2.8.1. Посадочный экран,,,,
134,cryptoHeaderText.title,Заголовок,Криптовалюта,
135,cryptoHeaderText.text|dot,Подзаголовок,"Цифровые деньги не подразумевают долгосрочные инвестиции и доходность от диведендов. Единственный сопособ заработать на криптовалюте - покупать дешевле и продавать дороже. Инструмент является рисковым и скорее вспомогательным, динамику цен сложно прогнозировать, но, при благоприятных обстоятельствах, прибыль может превосходить все остальные фундаментальные инструменты для инвестирования.",
136,cryptoProfitsText.profit1.title,Преимущество №1. Заголовок.,Легкий старт,
137,cryptoProfitsText.profit1.text|dot,Преимущество №1. Описание.,Нет необходимости скачивать блокчейн и создавать цифровой кошелек.,
138,cryptoProfitsText.profit2.title,Преимущество №2. Заголовок.,Быстрое исполнение,
139,cryptoProfitsText.profit2.text|dot,Преимущество №2. Описание.,Платформа Company Name позволяет моментально исполнять приказы на покупку и продажу криптовалюты.,
140,cryptoProfitsText.profit3.title,Преимущество №3. Заголовок.,Круглосуточная поддержка,
141,cryptoProfitsText.profit3.text|dot,Преимущество №3. Описание.,Операторы и технические специалисты готовы ответить на вопросы и оказать помощь 24/7.,
142,cryptoProfitsText.profit4.title,Преимущество №4. Заголовок.,Кредитное плечо,
143,cryptoProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Регулируемое кредитное плечо позволяет получать больше прибыли, при этом есть возможность распределить риски.",
2.8.2. Описание рынка,,,,
144,cryptoAssetsText.title,Заголовок,Узнайте больше о рынке криптовалюты,
145,cryptoAssetsText.text|dot,Подзаголовок,"Криптовалюта - это децентрализированная цифровая валюта, которая предполагает заработок на спекуляции. Инструмент обладает высокими рисками, но и высокими показателями доходности. Целесообразнее всего инвестировать в криптовалюту свободные средства, в противносм случае лучше выбрать более прогнозируемые инструменты.",
3. Торговые условия,,,,
3.1. Посадочный экран,,,,
146,tradingHeaderText.title,Заголовок,Детальнее ознакомьтесь с торговыми условиями,
147,tradingHeaderText.text|dot,Подзаголовок,"Тут вы сможете узнать подробнее про некоторые параметры ордеров, такие как: объем лота, кредитное плечо, своп, спред, уровень Margin Call и Stop Out и многих других. Грамотный анализ и прогнозирование этих показателей поможет значительно увеличить вашу прибыль от торговых операций.",
3.2. Калькулятор трейдера,,,,
148,tradingCalculatorText.title,Заголовок,Калькулятор трейдера,
149,tradingCalculatorText.text|dot,Подзаголовок,"Онлайн-калькулятор трейдера - это инструмент, который используется для определения уровня свободных средств для планируемой сделки, а также для просчета размера комиссии. Чтобы использовать калькулятор, необходимо указать исходные параметры.",
3.3. Расчетные данные,,,,
150,estimationText.offer_1,Инструмент,"Инструмент: <div class=""description"">указывайте выбранный финансовый инструмент из списка</div>",
151,estimationText.offer_2,Цена открытия,"Цена: <div class=""description"">укажите предположительную цену открытия и закрытия ордера, чтобы узнать возможный результат</div>",
152,estimationText.offer_3,Объем сделки,"Объем сделки: <div class=""description"">укажите точный объем сделки в лотах</div>",
153,estimationText.offer_4,"Спред, в пунктах","Своп в пунктах: <div class=""description"">просчитывается автоматически исходя из разницы между ценами Ask и Bid</div>",
154,estimationText.offer_5,"Своп, в USD","Своп в USD: <div class=""description"">просчитывается автоматически исходя из стоимости переноса позиции в ночное время</div>",
155,estimationText.offer_6,Маржа в USD,"Маржа: <div class=""description"">указанные данные - это минимальный размер свободного депозита, который необходим для осуществления сделки</div>",
156,estimationText.offer_7,Прибыль в USD,"Прибыль: <div class=""description"">указывается вероятная прибыль на основании введенных параметров</div>",
3.4. Пример расчета,,,,
157,estimationText.h2,Заголовок,Как работает калькулятор трейдера,
158,estimationText.ul_title,Подзаголовок,Исходные данные,
159,estimationText.li_1,Данные №1,Инструмент,инструмент
160,estimationText.li_2,Данные №2,Цена открытия,цена открытия
161,estimationText.li_3,Данные №3,Объем сделки,Объем
162,estimationText.li_4,Данные №4,Своп в пунктах,Обмен в баллах
163,estimationText.li_5,Данные №5,Своп в USD,Обмен в долларах США
164,estimationText.li_6,Данные №6,Маржа,Поле
165,estimationText.li_7,Данные №7,Прибыль,Выгода
4. О компании,,,,
4.1. О компании + Показатели,,,,
166,aboutHeaderText.title,Слоган-заголовок,Company Name откроет вам мир финансовых инвестиций ,
167,aboutHeaderText.text|dot,Подзаголовок,"В современном мире с каждым годом все сложнее обходиться без знаний экономики и финансовых инструментов. На платформе Company Name вы не только сможете обучиться торговле и понять, как работает рынок изнутри, но и обеспечить себе пассивных доход от инвестиций.",
168,aboutCounterText.counter1.title,Показатель №1,<span class='indicator-number_1' data-indicator-number='184568'>0</span>,"здесь изменять только число, выделенное жирным"
169,aboutCounterText.counter1.text,Текст показателя №1,активных пользователей,можно изменять
170,aboutCounterText.counter2.title,Показатель №2,<span class='indicator-number_2' data-indicator-number='487500'>0</span>,
171,aboutCounterText.counter2.text,Текст показателя №2,открытых оредеров ежедневно ,
172,aboutCounterText.counter3.title,Показатель №3,<span class='indicator-number_3' data-indicator-number='200'>0</span>+,
173,aboutCounterText.counter3.text,Текст показателя №3,торговых инструментов,
174,aboutCounterText.counter4.title,Показатель №4,<span class='indicator-number_4' data-indicator-number='150'>0</span> млн,
175,aboutCounterText.counter4.text,Текст показателя №4,долларов ежедневный оборот,
176,aboutCounterText.counter5.title,Показатель №5,<span class='indicator-number_5' data-indicator-number='4'>0</span>-й,
177,aboutCounterText.counter5.text,Текст показателя №5,года на рынке брокеров,
4.2. Вы в центре всего,,,,
178,aboutConditionsText.title,Заголовок,Ваш комфорт и безопасность - основная наша задача,
179,aboutConditionsText.text|dot,Подзаголовок,"Сотни людей ежедневно трудятся для обеспечения комфортной, быстрой и безопасной работы торговой платформы для того, чтобы у вас появилась возможность познакомиться с миром инвестиций. Сотни экспертов делятся своими знаниями, чтобы ваша торговля приносила вам больше прибыли. Company Name - это не просто посредник между клиентом и биржой, это и учитель, и наставник, и помощник для начинающих трейдеров.",
4.3. Цели и задачи компании,,,,
180,aboutGoalsText.h2,Общий заголовок,Перед нашей командой стоят долгосрочные и фундаментальные цели,
181,aboutGoalsText.goal1.title,Заголовок №1,Цель №1,
182,aboutGoalsText.goal1.text|dot,Описание заголовка №1,"Увеличить доход наших трейдеров на 30%, путем разработки различных стратегий и рекомендаций.",
183,aboutGoalsText.goal2.title,Заголовок №2,Цель №2,
184,aboutGoalsText.goal2.text|dot,Описание заголовка №2,Обучить и вывести на постоянный доход 50000 начинающих трейдеров.,
4.4. Больше возможностей для трейдинга,,,,
185,aboutQualityText.title,Заголовок №1,Большой простор и разнообразие торговых инструментов,
186,aboutQualityText.text|dot,Описание заголовка №1,Company Name ежедневно работает над внедрением новых инструментов для торговли. На данном этапе вы уже можете быстро и безопасно использовать более 200 инструментов. Наша компания сотрудничает с крупными международными финансовыми агентами и предоставляет самые актуальные котировки в максимально короткий срок.,тоже 200
4.5. Наша история,,,,
187,aboutHistoryText.h2,Общий заголовок,История,
188,aboutHistoryText.year1.title,2018 год. Заголовок,Старт брокерской деятельности,
189,aboutHistoryText.year1.text|dot,2018 год. Описание,Главный офис компании открылся в начале 2018 года. Параллельно с открытием была создана первая версия нашей торговой платформы.,
190,aboutHistoryText.year2.title,2019 год. Заголовок,Расширение деятельности ,
191,aboutHistoryText.year2.text|dot,2019 год. Описание,В 2019 году наша компания начала выходить на новые рынки и наше представительство открылось в 6 крупных городах. На тот момент на нашей платформе было уже 100 работающих и полностью отлаженных инструментов.,
192,aboutHistoryText.year3.title,2020 год. Заголовок,Разработка новых торговых условий для трейдеров,
193,aboutHistoryText.year3.text|dot,2020 год. Описание,"В 2020 году мы обновили наш торговый терминал до более современной версии, а также разработали более лояльные условия для наших клиентов.",
194,aboutHistoryText.year4.title,2021 год. Заголовок,Введение новых финансовых инструментов,
195,aboutHistoryText.year4.text|dot,2021 год. Описание,"Весь 2021 наша команда работала над введением новых финансовых инструментов, на данный момент их уже насчитывается 200.",
4.6. Платформа для торговли разработанная для людей.,,,,
196,aboutPlatformText.title,Заголовок,Современная торговая платформа,
197,aboutPlatformText.text|dot,Подзаголовок,Торговая платформа Company Name имеет ряд преимуществ перед конкурентами ,
198,aboutPlatformText.advantage1,Преимущества №1,Множество различных инструментов для прогнозирования,
199,aboutPlatformText.advantage2,Преимущества №2,Невозможность уйти в минус по счету,
200,aboutPlatformText.advantage3,Преимущества №3,Служба поддержки 24/7,
201,aboutPlatformText.advantage4,Преимущества №4,Высокая скорость обработки ордеров,лучше ордеров
202,aboutPlatformText.advantage5,Преимущества №5,Безопасность,
203,aboutPlatformText.advantage6,Преимущества №6,Юзер-френдли интерфейс,
204,aboutPlatformText.advantage7,Преимущества №7,Полная запись обо всех операциях по счету,
5. Лицензии.,,,,
5.1. Посадочный экран,,,,
205,licensesHeaderText.title,Заголовок,Партнеры и регуляторы,
206,licensesHeaderText.text,Подзаголовок к заголовку,Брокерская деятельность компании Company Name регулируется множеством строгих регуляторов международной торговли.,
5.2. Информация о регуляторах и банках,,,,
207,licensesListText.license1.title,Заголовок №1,ASIC,"Регуляторов тоже нужно найти и расписать. в началае напрмиер упоминаем ASIC, DFSA, FSCA"
208,licensesListText.license1.text,Описание №1,Австралийский финансовый регулятор. Цель данного регулятора - обеспечение контроля за честными условиями деятельности брокерских компаний.,
209,licensesListText.license2.title,Заголовок №2,DFSA,
210,licensesListText.license2.text,Описание №2,Управление по финансовому регулированию и надзору Дубая. Данный регулятор осуществляет контроль за деятельностью международных финансовых центров на территории эмирата.,
211,licensesListText.license3.title,Заголовок №3,ESMA,
212,licensesListText.license3.text,Описание №3,Европейского управления по надзору за рынком ценных бумаг. Данный регулятор контролирует финансовую деятельность на территории Европойского союза.,
213,licensesListText.license4.title,Заголовок №4,FSCA,
214,licensesListText.license4.text,Описание №4,Управление по финансовым услугам Южной Африки. Регулятор осуществляет контроль за финансовыми операциями на территории ЮАР.,
215,licensesListText.license5.title,Заголовок №5,FCA,
216,licensesListText.license5.text,Описание №5,Управлением по финансовому регулированию и надзору Великобритании.,
217,licensesListText.license6.title,Заголовок №6,CySEC,
218,licensesListText.license6.text,Описание №6,Кипрская комиссия по ценным бумагам и биржам. Выполняет регулирование деятельности финансовых компаний на территории страны.,
219,licensesListText.license7.title,Заголовок №7,IFSC,
220,licensesListText.license7.text,Описание №7,Комиссия по международным финансовым услугам Белиза.,
221,licensesListText.license8.title,Заголовок №8,SCB,
222,licensesListText.license8.text,Описание №8,Комиссия по ценным бумагам Багамский островов.,
6. Ошибка 404.,,,,Comisión de valores Islas Bahamas. Número de licencia: 154879.
223,headerText404.title,Заголовок,Ошибка 404,错误404.
224,headerText404.text,Подзаголовок,"Данной страницы не существует, обратитесь в службу поддержки.",此页面不存在，请联系您的支持服务。
225,headerText404.textMainPage,Вернуться на главную страницу,Вернуться на главную страницу,返回主页
