id,constant,position,translate,
39,indexAccountsText.account1.title,Аккаунт №1,Beginner,
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,"This type of account allows you to use the most popular instrumentss, and also gives access to training materials.",
41,indexAccountsText.account2.title,Аккаунт №2,Middle,
42,indexAccountsText.account2.text|dot,Подзаголовок для аккаунта №2,Even more trading instrumentss and more favorable conditions for the trader.,
43,indexAccountsText.account3.title,Аккаунт №3,Specialist,
44,indexAccountsText.account3.text|dot,Подзаголовок для аккаунта №3,"By choosing this tariff, in addition to full access to the trading terminal, you also get the opportunity to insure your deposit.",
45,indexAccountsText.account_condition_1,Минимальный депозит:,Minimum deposit,
46,indexAccountsText.account_condition_2,Кредитное плечо:,Leverage,
47,indexAccountsText.account_condition_3,Моментальное исполнение,Instant execution,
48,indexAccountsText.account_condition_4,Торговля криптовалютами и металлами,Cryptocurrencies and metals trading,
49,indexAccountsText.account_condition_5,Возможность инвестиций в ПАММ-счета,PAMM-accounts investing ,
50,indexAccountsText.account_condition_6,Отсутствие свопа,No swap,
51,indexAccountsText.account_condition_7,Торговля ETF и индексами,ETF and index trading,
52,indexAccountsText.account_condition_8,Страхование депозитов,Deposit insurance,
53,indexAccountsText.account_condition_9,Персональный менеджер,Personal manager,
54,indexAccountsText.account_condition_10,Открытие личного ПАММ-счета,Opening a personal PAMM-account,
53,indexAccountsText.account_condition_11,Защита депозитов,Protection of deposits,
54,indexAccountsText.account_condition_12,Круглосуточная поддержка,24-hour personal support,
1.6. Новости,,,,
55,indexNewsText.h2,Главный заголовок раздела,Latest economic news,
1.7. Футер,,,,
56,footerContent,Футер текст,"Company Name is registered at: France, Ile-de-France, Line A, Marne-la-Vallee Chessie station. The company's activities are carried out in accordance with the requirements of the European Securities Market Supervision Authority (license number: 096/08), the Australian Securities and Investments Commission (ASIC) (19-365MR) and the Financial Regulatory Authority of the United Kingdom (FCA) FRN: 584283.",
2. Рынки и инструменты,,,,
2.2. Обзор рынков,,,,
2.2.1. Посадочный экран,,,,
57,marketsHeaderText.title,Заголовок,Huge trading opportunities,
58,marketsHeaderText.text|dot,Подзаголовок,The Company Name company provides an opportunity for traders from anywhere in the world to use over 200 of the most popular financial instruments.,
59,commonMarketsText.title_graph,Загловок торгового графика,Trading instrument chart,
60,commonMarketsText.title_table,Заголовок таблицы инструментов,Instruments table,
61,commonMarketsText.footnote,Часы работы рынков,* opening and closing hours are indicated by UTC +0,
2.2.2. Валюты,,,,
62,marketsListText.market1.title,Заголовок,Currency pairs,
63,marketsListText.market1.text|dot,Подзаголовок,"The purchase of foreign currency is one of the most popular instrumentss for investing on the financial markets. Every second, a huge number of operations for the sale and purchase of currency are carried out all over the world.",
2.2.3. Металлы,,,,
64,marketsListText.market2.title,Заголовок,Metals,
65,marketsListText.market2.text|dot,Подзаголовок,"With the Company Name company, you will get the opportunity to purchase valuable metals, such as: gold, silver, copper, platinum and others.",
2.2.4. Акции,,,,
66,marketsListText.market3.title,Заголовок,Stocks,
67,marketsListText.market3.text|dot,Подзаголовок,"Shares of various companies are the second most popular instrument, after currency trading, for performing operations on a trading exchange.",
2.2.5. Товары,,,,
68,marketsListText.market4.title,Заголовок,Commodities,
69,marketsListText.market4.text|dot,Подзаголовок,"On the Company Name platform, you will have the opportunity to trade agricultural commodities, energy commodities and others.",
2.2.6. Индексы,,,,
70,marketsListText.market5.title,Заголовок,Indices,
71,marketsListText.market5.text|dot,Подзаголовок,"Stock indices are an alternative to other financial markets and have their own advantages, namely: investing in the long term and instant diversification, since the shares of several large companies are traded at once.",
2.2.7. Криптовалюты,,,,
72,marketsListText.market6.title,Заголовок,Cryptocurrency,
73,marketsListText.market6.text|dot,Подзаголовок,"A relatively new financial instrument, it has high risks, but due to the strong price dynamics, it makes it possible to increase the invested funds due to the difference between the purchase price and the sale price.",
2.3. Валюты,,,,
2.3.1. Посадочный экран,,,,
74,forexHeaderText.title,Заголовок,Forex,
75,forexHeaderText.text|dot,Подзаголовок,Become a part of the financial market for trading currency pairs. The Company Name trading terminal has many application instrumentss for analyzing and predicting the future price of a particular currency. This will help you always stay in the black.,
76,forexProfitsText.profit1.title,Преимущество №1. Заголовок.,Trade from anywhere in the world,
77,forexProfitsText.profit1.text|dot,Преимущество №1. Описание.,"It doesn't matter where you are at the moment, if you have access to the Internet, you will be able to make transactions on the exchange.",
78,forexProfitsText.profit2.title,Преимущество №2. Заголовок.,High profitability,
79,forexProfitsText.profit2.text|dot,Преимущество №2. Описание.,"In comparison with the stock market, currency trading has a higher yield. The average rate of return on foreign exchange trading is 20-30%.",
80,forexProfitsText.profit3.title,Преимущество №3. Заголовок.,Low threshold for entry,
81,forexProfitsText.profit3.text|dot,Преимущество №3. Описание.,"To trade on the foreign exchange market, it is not necessary to have fundamental knowledge, you can learn right in the process of trading.",
82,forexProfitsText.profit4.title,Преимущество №4. Заголовок.,Round-the-clock trading,
83,forexProfitsText.profit4.text|dot,Преимущество №4. Описание.,"The foreign exchange market works around the clock five days a week, this makes it possible to build your working schedule as it is convenient for you.",
2.3.2. Описание рынка,,,,
84,forexAssetsText.title,Заголовок,Learn more about the foreign exchange market,
85,forexAssetsText.text|dot,Подзаголовок,"The Forex market is an international currency market, considered one of the largest and most active financial markets in the world. Trading on this market is conducted on the basis of currency pairs, both popular (EUR/USD) and more exotic, for example, USD/HKD.",
2.4. Металлы,,,,
2.4.1. Посадочный экран,,,,
86,metalsHeaderText.title,Заголовок,Metals,
87,metalsHeaderText.text|dot,Подзаголовок,"The most popular financial instruments in this area are CFDs for various types of metals. Company Name will provide you with a lot of instrumentss for risk management and forecasting, which will help you correctly build a trading strategy.",
88,metalsProfitsText.profit1.title,Преимущество №1. Заголовок.,Unambiguity of quotations,
89,metalsProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Quotes for this financial instrument are the same for all brokers, this minimizes the occurrence of disputes related to price discrepancies.",
90,metalsProfitsText.profit2.title,Преимущество №2. Заголовок.,Information about futures volumes,
91,metalsProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Information about the volumes of the futures market is quite transparent, this, in turn, contributes to the improvement of trading indicators.",
92,metalsProfitsText.profit3.title,Преимущество №3. Заголовок.,Using leverage,
93,metalsProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Trading with leverage allows you to trade with only a part of the asset value, which ultimately allows you to work with a small capital.",
94,metalsProfitsText.profit4.title,Преимущество №4. Заголовок.,Low spread value,
95,metalsProfitsText.profit4.text|dot,Преимущество №4. Описание.,The liquidity of the contract for the goods is much higher than the liquidity of the goods themselves.,
2.4.2. Описание рынка,,,,
96,metalsAssetsText.title,Заголовок,Learn more about the metal market,
97,metalsAssetsText.text|dot,Подзаголовок,"The precious metals market is an area of economic relations that regulates trading operations with various precious metals, for example, gold. This is an auxiliary instrument that can be used to diversify your investment portfolio.",
2.5. Акции,,,,
2.5.1. Посадочный экран,,,,
98,stocksHeaderText.title,Заголовок,Stocks,
99,stocksHeaderText.text|dot,Подзаголовок,Go through a simple account registration procedure and start buying and selling shares of companies right now.,
100,stocksProfitsText.profit1.title,Преимущество №1. Заголовок.,Low transaction fees,
101,stocksProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Company Name has a loyal system of commissions for operations, in which the trader and the broker remain in the black.",
102,stocksProfitsText.profit2.title,Преимущество №2. Заголовок.,Short-term and long-term investments,
103,stocksProfitsText.profit2.text|dot,Преимущество №2. Описание.,"The trading terminal allows you to make both long-term investments, with a reserve for the future, and short-term ones, with the expectation of making money on the price difference.",
104,stocksProfitsText.profit3.title,Преимущество №3. Заголовок.,A variety of shares of different companies,
105,stocksProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Company Name will give you the opportunity to purchase shares of a variety of companies: large and well-established or promising, but more risky startups.",
106,stocksProfitsText.profit4.title,Преимущество №4. Заголовок.,The minimum threshold for entering the market,
107,stocksProfitsText.profit4.text|dot,Преимущество №4. Описание.,"There is no need to have a large start-up capital to trade stocks, you can start with small investments.",
2.5.2. Описание рынка,,,,
108,stocksAssetsText.title,Заголовок,Learn more about the stock market,
109,stocksAssetsText.text|dot,Подзаголовок,"Shares are one of the types of securities on the stock market. By buying a share, the owner receives a share in the company's capital. Stocks are the most popular instrument for investing on the stock market.",
2.6. Товары,,,,
2.6.1. Посадочный экран,,,,
110,commoditiesHeaderText.title,Заголовок,Commodities,
111,commoditiesHeaderText.text|dot,Подзаголовок,Company Name will allow all users to perform commodity trading operations. The raw materials market includes agricultural commodities and energy commodities.,
112,commoditiesProfitsText.profit1.title,Преимущество №1. Заголовок.,Diversification,
113,commoditiesProfitsText.profit1.text|dot,Преимущество №1. Описание.,The correlation between the cost of raw materials and various exchange rates is quite low.,
114,commoditiesProfitsText.profit2.title,Преимущество №2. Заголовок.,Leverage,
115,commoditiesProfitsText.profit2.text|dot,Преимущество №2. Описание.,"The platform has the possibility of using leverage, which will allow you to significantly increase the profit from trading.",
116,commoditiesProfitsText.profit3.title,Преимущество №3. Заголовок.,Minimum investment,
117,commoditiesProfitsText.profit3.text|dot,Преимущество №3. Описание.,"CFD trading in raw materials allows you to start trading without a lot of capital. Even with minimal investment, you can make a profit on a fall or increase in the price.",
118,commoditiesProfitsText.profit4.title,Преимущество №4. Заголовок.,Variety of raw materials,
119,commoditiesProfitsText.profit4.text|dot,Преимущество №4. Описание.,Company Name makes it possible to conduct operations on trading any commodities.,
2.6.2. Описание рынка,,,,
120,commoditiesAssetsText.title,Заголовок,Learn more about the raw materials market,
121,commoditiesAssetsText.text|dot,Подзаголовок,"Commodities are various materials that are available in the natural environment or are extracted from it. Oil, gas, ore, wood and much more are all raw materials. For trading these types of goods, futures trading is most often used, which allows you to earn on the price difference.",
2.7. Индексы,,,,
2.7.1. Посадочный экран,,,,
122,indicesHeaderText.title,Заголовок,Stock indices,
123,indicesHeaderText.text|dot,Подзаголовок,"Indices make it possible to trade in the contact format for the price difference. This financial instrument has low volatility, which, in turn, makes it an excellent instrument for the differentiation of the investment portfolio, and also allows you to make long-term investments.",
124,indicesProfitsText.profit1.title,Преимущество №1. Заголовок.,Low fees and commissions,
125,indicesProfitsText.profit1.text|dot,Преимущество №1. Описание.,Orders for operations are made without additional commissions and fees.,
126,indicesProfitsText.profit2.title,Преимущество №2. Заголовок.,Analysis and forecasting,
127,indicesProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Company Name will provide traders with a variety of financial analytical instruments that, with proper and competent analysis, can increase trading performance.",
128,indicesProfitsText.profit3.title,Преимущество №3. Заголовок.,Low entry threshold,
129,indicesProfitsText.profit3.text|dot,Преимущество №3. Описание.,Investing in stock indices does not require fundamental training in the field of trading.,
130,indicesProfitsText.profit4.title,Преимущество №4. Заголовок.,Low costs,
131,indicesProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Investing in indices carries much less costs, which has a positive effect on the final indicator of the trader's profit.",
2.7.2. Описание рынка,,,,
132,indicesAssetsText.title,Заголовок,Learn more about the index market,
133,indicesAssetsText.text|dot,Подзаголовок,"Stock indices are relative indicators that reflect the general state of a country, an industry as a whole, or individual specific investment portfolios. Stock indices characterize the average value of various securities and reveal the overall dynamics.",
2.8. Криптовалюты,,,,
2.8.1. Посадочный экран,,,,
134,cryptoHeaderText.title,Заголовок,Cryptocurrency,
135,cryptoHeaderText.text|dot,Подзаголовок,"Digital money does not imply long-term investments and returns from divergences. The only way to make money on cryptocurrency is to buy cheaper and sell more expensive. The instrument is risky and rather auxiliary, it is difficult to predict the price dynamics, but, under favorable circumstances, the profit may exceed all other fundamental instruments for investment.",
136,cryptoProfitsText.profit1.title,Преимущество №1. Заголовок.,Easy start,
137,cryptoProfitsText.profit1.text|dot,Преимущество №1. Описание.,There is no need to download the blockchain and create a digital wallet.,
138,cryptoProfitsText.profit2.title,Преимущество №2. Заголовок.,Fast execution,
139,cryptoProfitsText.profit2.text|dot,Преимущество №2. Описание.,The Company Name platform allows you to instantly execute orders to buy and sell cryptocurrency.,
140,cryptoProfitsText.profit3.title,Преимущество №3. Заголовок.,Round-the-clock support,
141,cryptoProfitsText.profit3.text|dot,Преимущество №3. Описание.,Operators and technical specialists are ready to answer questions and provide assistance 24/7.,
142,cryptoProfitsText.profit4.title,Преимущество №4. Заголовок.,Leverage,
143,cryptoProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Regulated leverage allows you to get more profit, while there is an opportunity to distribute risks.",
2.8.2. Описание рынка,,,,
144,cryptoAssetsText.title,Заголовок,Learn more about the cryptocurrency market,
145,cryptoAssetsText.text|dot,Подзаголовок,"Cryptocurrency is a decentralized digital currency that involves making money on speculation. The instrument has high risks, but also high profitability indicators. It is most expedient to invest free funds in cryptocurrency, in the opposite case, it is better to choose more predictable instruments.",
3. Торговые условия,,,,
3.1. Посадочный экран,,,,
146,tradingHeaderText.title,Заголовок,Read more about the trading conditions,
147,tradingHeaderText.text|dot,Подзаголовок,"Here you can learn more about some order parameters, such as: lot volume, leverage, Swap, Spread, Margin Call and Stop Out level, and many others. Competent analysis and forecasting of these indicators will help to significantly increase your profit from trading operations.",
3.2. Калькулятор трейдера,,,,
148,tradingCalculatorText.title,Заголовок,Trader's Calculator,
149,tradingCalculatorText.text|dot,Подзаголовок,"An online trader's calculator is a instrument that is used to determine the level of available funds for a planned transaction, as well as to calculate the amount of commission. To use the calculator, you must specify the initial parameters.",
3.3. Расчетные данные,,,,
150,estimationText.offer_1,Инструмент,"Instrument: <div class=""description"">specify the selected financial instrument from the list</div>",
151,estimationText.offer_2,Цена открытия,"Price: <div class=""description"">specify the estimated price of opening and closing the order to see the possible result</div>",
152,estimationText.offer_3,Объем сделки,"Trade volume: <div class=""description"">specify exact trade volume in lots</div>",
153,estimationText.offer_4,"Своп, в пунктах","Swap in points: <div class=""description"">calculated automatically based on the difference between Ask and Bid prices</div>",
154,estimationText.offer_5,"Своп, в USD","Swap in USD: <div class=""description"">calculated automatically based on the cost of position rollover at night</div>",
155,estimationText.offer_6,Маржа в USD,"Margin: <div class=""description"">the specified data is the minimum amount of free deposit required to make a transaction</div>",
156,estimationText.offer_7,Прибыль в USD,"Profit: <div class=""description"">indication of probable profit based on current parameters</div>",
3.4. Пример расчета,,,,
157,estimationText.h2,Заголовок,How the trader's calculator works,
158,estimationText.ul_title,Подзаголовок,Initial data,Исходные данные
159,estimationText.li_1,Данные №1,Instrument,Инструмент
160,estimationText.li_2,Данные №2,Opening price,Цена открытия
161,estimationText.li_3,Данные №3,Volume,Объем
162,estimationText.li_4,Данные №4,Swap in points,Своп в точках
163,estimationText.li_5,Данные №5,Swap in USD,Своп в долларах США
164,estimationText.li_6,Данные №6,Margin,Поле
165,estimationText.li_7,Данные №7,Profit,Выгода
4. О компании,,,,
4.1. О компании + Показатели,,,,
166,aboutHeaderText.title,Слоган-заголовок,Company Name will open the world of financial investments to you,
167,aboutHeaderText.text|dot,Подзаголовок,"In the modern world, it is becoming more and more difficult to do without knowledge of economics and financial instruments every year. On the Company Name platform, you will not only be able to learn how to trade and understand how the market works from the inside, but also provide yourself with passive income from investments.",
168,aboutCounterText.counter1.title,Показатель №1,<span class='indicator-number_1' data-indicator-number='184568'>0</span>,
169,aboutCounterText.counter1.text,Текст показателя №1,active users,
170,aboutCounterText.counter2.title,Показатель №2,<span class='indicator-number_2' data-indicator-number='487500'>0</span>,
171,aboutCounterText.counter2.text,Текст показателя №2,open oreders daily,
172,aboutCounterText.counter3.title,Показатель №3,<span class='indicator-number_3' data-indicator-number='200'>0</span>+,
173,aboutCounterText.counter3.text,Текст показателя №3,trading instruments,
174,aboutCounterText.counter4.title,Показатель №4,<span class='indicator-number_4' data-indicator-number='150'>0</span> mln,
175,aboutCounterText.counter4.text,Текст показателя №4,dollars daily trading volume,
176,aboutCounterText.counter5.title,Показатель №5,<span class='indicator-number_5' data-indicator-number='4'>0</span>th,
177,aboutCounterText.counter5.text,Текст показателя №5,year on the market,
4.2. Вы в центре всего,,,,
178,aboutConditionsText.title,Заголовок,Your comfort and safety is our main task,
179,aboutConditionsText.text|dot,Подзаголовок,"Hundreds of people work every day to ensure a comfortable, fast and safe operation of the trading platform so that you have the opportunity to get acquainted with the world of investment. Hundreds of experts share their knowledge so that your trading brings you more profit. Company Name is not just an intermediary between the client and the exchange, it is also a teacher, mentor, and assistant for novice traders.",
4.3. Цели и задачи компании,,,,
180,aboutGoalsText.h2,Общий заголовок,Our team has long-term and fundamental goals,
181,aboutGoalsText.goal1.title,Заголовок №1,Goal #1,
182,aboutGoalsText.goal1.text|dot,Описание заголовка №1,Increase the income of our traders by 30% by developing various strategies and recommendations.,
183,aboutGoalsText.goal2.title,Заголовок №2,Goal #2,
184,aboutGoalsText.goal2.text|dot,Описание заголовка №2,"To train and bring 50,000 novice traders to a permanent income.",
4.4. Больше возможностей для трейдинга,,,,
185,aboutQualityText.title,Заголовок №1,Large scope and variety of trading instruments,
186,aboutQualityText.text,Описание заголовка №1,"Company Name is working daily on the introduction of new trading instruments. At this stage, you can already use more than 200 instruments quickly and safely. Our company cooperates with major international financial agents and provides the most up-to-date quotes in the shortest possible time.",
4.5. Наша история,,,,
187,aboutHistoryText.h2,Общий заголовок,History,
188,aboutHistoryText.year1.title,2017 год. Заголовок,Start of brokerage activity,
189,aboutHistoryText.year1.text|dot,2017 год. Описание,"The company's main office opened in early 2018. In parallel with the opening, the first version of our trading platform was created.",
190,aboutHistoryText.year2.title,2018 год. Заголовок,Expansion of activities,
191,aboutHistoryText.year2.text|dot,2018 год. Описание,"In 2019, our company began to enter new markets and our representative office was opened in 6 major countries. At that time, there were already 100 working and fully debugged instrumentss on our platform.",
192,aboutHistoryText.year3.title,2019 год. Заголовок,Development of new trading conditions for traders,
193,aboutHistoryText.year3.text|dot,2019 год. Описание,"In 2020, we updated our trading terminal to a more modern version, and also developed more loyal conditions for our customers.",
194,aboutHistoryText.year4.title,2020 год. Заголовок,Introduction of new financial instruments,
195,aboutHistoryText.year4.text|dot,2020 год. Описание,"Throughout 2021, our team has been working on the introduction of new financial instruments, at the moment there are already 200 of them.",
4.6. Платформа для торговли разработанная для людей.,,,,
196,aboutPlatformText.title,Заголовок,Modern trading platform,
197,aboutPlatformText.text|dot,Подзаголовок,The Company Name trading platform has a number of advantages over its competitors,
198,aboutPlatformText.advantage1,Преимущества №1,Many different instrumentss for forecasting,
199,aboutPlatformText.advantage2,Преимущества №2,The inability to go into the negative on the account,
200,aboutPlatformText.advantage3,Преимущества №3,24/7 Support service,
201,aboutPlatformText.advantage4,Преимущества №4,High order processing speed,
202,aboutPlatformText.advantage5,Преимущества №5,Safety,
203,aboutPlatformText.advantage6,Преимущества №6,User-friendly interface,
204,aboutPlatformText.advantage7,Преимущества №7,Full record of all operations on the account,
5. Аккредитации и лицензии.,,,,
5.1. Посадочный экран,,,,
205,licensesHeaderText.title,Заголовок,Partners and regulators,
206,licensesHeaderText.text,Подзаголовок к заголовку,Company Name's brokerage activity is regulated by many strict regulators of international trade,
5.2. Информация о регуляторах и банках,,,,
207,licensesListText.license1.title,Заголовок №1,ASIC,
208,licensesListText.license1.text,Описание №1,The Australian Financial Regulator. The purpose of this regulator is to ensure control over the fair conditions of the brokerage companies ' activities.,
209,licensesListText.license2.title,Заголовок №2,DFSA,
210,licensesListText.license2.text,Описание №2,Dubai Financial Regulation and Supervision Authority. This regulator monitors the activities of international financial centers in the territory of the emirate.,
211,licensesListText.license3.title,Заголовок №3,ESMA,
212,licensesListText.license3.text,Описание №3,The European Securities Market Supervision Authority. This regulator controls financial activities on the territory of the European Union.,
213,licensesListText.license4.title,Заголовок №4,FSCA,
214,licensesListText.license4.text,Описание №4,The Financial Services Authority of South Africa. The regulator monitors financial transactions in South Africa.,
215,licensesListText.license5.title,Заголовок №5,FCA,
216,licensesListText.license5.text,Описание №5,The Financial Regulation and Supervision Authority of the United Kingdom.,
217,licensesListText.license6.title,Заголовок №6,CySEC,
218,licensesListText.license6.text,Описание №6,Cyprus Securities and Exchange Commission. Performs the regulation of the activities of financial companies in the country.,
219,licensesListText.license7.title,Заголовок №7,IFSC,
220,licensesListText.license7.text,Описание №7,The Belize International Financial Services Commission.,
221,licensesListText.license8.title,Заголовок №8,SCB,
222,licensesListText.license8.text,Описание №8,Securities Commission of the Bahamas.,
6. Ошибка 404.,,,,
223,headerText404.title,Заголовок,Error 404,
224,headerText404.text,Подзаголовок,"This page does not exist, please contact support.",
225,headerText404.textMainPage,Вернуться на главную страницу,Back to the main page,
226,headerText404.textSupport,Служба технической поддержки,Technical support service,
8. Формы,,,,
8.1. Заголовки форм,,,,
228,formsText.titleEnter,Вход в личный кабинет,Your Personal Area,
229,formsText.titleCallback,Оставить заявку,Submit your application,
230,formsText.titleTwoauth,Двухэтапная авторизация,Two-factor authentication,
231,buttonText.signup,Регистрация,Registration,
232,fotmsText.titleReminder,Восстановление пароля,Password reset,
8.2. Поля ввода,,,,
233,formsText.labelName,Введите ваше имя,Name *,
234,formsText.placeholderName,Введите ваше имя (placeholder),Your name,
235,formsText.labelLastName,Введите вашу фамилию,Surname *,
236,formsText.placeholderLastName,Введите вашу фамилию (placeholder),Your surname,
237,formsText.labelMail,Введите ваш E-mail,E-mail *,
238,formsText.placeholderEmail,Введите ваш E-mail (placeholder),Your E-mail,
239,formsText.labelPassword,Введите пароль,Password *,
240,formsText.placeholderPassword,Введите пароль (placeholder),Enter password,
241,formsText.labelConfirmPassword,Подтвердите пароль,Confirm password *,
242,formsText.labelPhone,Поле для ввода номера телефона,Phone number *,
243,formsText.placeholderPhone,Поле для ввода номера телефона (placeholder),Your phone number,
244,formsText.labelCountry,Выберите страну,Country,
245,formsText.placeholderCountry,Выберите страну (placeholder),Choose country,
246,formsText.labelLanguage,Выберите язык,Language,
247,formsText.placeholderLanguage,Выберите язык (placeholder),Choose language,
248,formsText.labelTime,Удобное время для звонка,Time to call,
249,formsText.placeholderTime,Удобное время для звонка (placeholder),Best time to call,
250,formsText.lableTwoauth,Введите код двухэтапной авторизации,Authorization code *,
251,formsText.placeholderTwoauth,Введите код двухэтапной авторизации (placeholder),Two-stage authorization code,
252,formsText.labelPromo,Введите промокод,Promotional code,
253,formsText.placeholderPromo,Введите промокод (placeholder),Enter promotional code,
8.3. Дополнительный текст,,,,
254,formsText.text_required,* - обязательные поля,* - required field,
255,formsText.regRecommend,"Для пароля разрешены только латинские буквы, цифры и символы. ","Only Latin letters, numbers and symbols are allowed for the password. The password must contain at least one uppercase letter, one lowercase letter and one number.",
256,formsText.checkboxText,Обработка персональных данных (чекбокс),I agree to the processing of personal data,
8.4. Уведомления,,,,
257,formsText.titleSuccess,Спасибо за отправку сообщения,Thank you for sending a message,
258,formsText.textSuccess,Спасибо за отправку сообщения текст,We will contact you shortly.,
259,formsText.titleError,Ошибка отправки сообщения,Error sending message,
260,formsText.textError,Ошибка отправки сообщения текст,Try later,
309,formsText.titleAttention,Ошибка (заголовок),Attention!,
8.5. Ссылки в форме,,,,
261,formsText.forgotText,Забыли пароль?,Forgot your password?,
262,formsText.allreadyText,Уже есть учетная запись,Already have an account,
9. Навигация,,,,
263,navText.index,Главная,Main,
264,navText.markets,Рынки,Markets,
265,navText.about,О компании,About company,
266,navText.contacts,Контакты,Contacts,
267,navText.forex,Валюты,Currencies,
268,navText.metals,Металлы,Metals,
269,navText.stocks,Акции,Stocks,
270,navText.commodities,Товары,Commodities,
271,navText.indices,Индексы,Indices,
272,navText.crypto,Криптовалюты,Cryptocurrencies,
273,navText.trading,Торговые условия,Trading conditions,
274,navText.licenses,Аккредитация и лицензии,Accreditations and Licenses,
275,formsText.checkboxAgreement,Пользовательское соглашение,User Agreement,
276,formsText.checkboxPolicy,Политика возврата средств,Refund Policy,
293,curLang,Текущий язык,En,
10. Кнопки,,,,
277,buttonText.login,Войти,Login,
278,buttonText.btnReg,Зарегистрироваться,Sign up,
279,buttonText.enterFormButton,Войти в кабинет,Login,
280,buttonText.btnSend,Отправить,To send,
281,buttonText.btnStartTrade,Начать торговать,Start trading,
282,buttonText.btnOpenAcc,Открыть счет,Open an account,
